Date,Open,High,Low,Close,Volume
31-Dec-15,107.01,107.03,104.82,105.26,40912316
30-Dec-15,108.58,108.70,107.18,107.32,25213777
29-Dec-15,106.96,109.43,106.86,108.74,30931243
28-Dec-15,107.59,107.69,106.18,106.82,26704210
24-Dec-15,109.00,109.00,107.95,108.03,13596680
23-Dec-15,107.27,108.85,107.20,108.61,32657354
22-Dec-15,107.40,107.72,106.45,107.23,32789367
21-Dec-15,107.28,107.37,105.57,107.33,47590610
18-Dec-15,108.91,109.52,105.81,106.03,96453327
17-Dec-15,112.02,112.25,108.98,108.98,44772827
16-Dec-15,111.07,111.99,108.80,111.34,56238467
15-Dec-15,111.94,112.80,110.35,110.49,53323105
14-Dec-15,112.18,112.68,109.79,112.48,64318732
11-Dec-15,115.19,115.39,112.85,113.18,46886161
10-Dec-15,116.04,116.94,115.51,116.17,29212727
9-Dec-15,115.30,117.69,115.08,115.62,46361357
8-Dec-15,117.52,118.60,116.86,118.23,34309450
7-Dec-15,118.32,119.86,117.81,118.28,32084249
4-Dec-15,115.29,119.25,115.11,119.03,57776977
3-Dec-15,115.24,116.79,114.22,115.20,41569509
2-Dec-15,117.34,118.11,116.08,116.28,33198964
1-Dec-15,118.75,118.81,116.86,117.34,34700991
30-Nov-15,117.99,119.41,117.75,118.30,37658671
27-Nov-15,118.29,118.41,117.60,117.81,13043720
25-Nov-15,119.21,119.23,117.92,118.03,21388308
24-Nov-15,117.33,119.35,117.12,118.88,42426855
23-Nov-15,119.27,119.73,117.34,117.75,32266736
20-Nov-15,119.20,119.92,118.85,119.30,34103529
19-Nov-15,117.64,119.75,116.76,118.78,42908179
18-Nov-15,115.76,117.49,115.50,117.29,46163404
17-Nov-15,114.92,115.05,113.32,113.69,27253964
16-Nov-15,111.38,114.24,111.00,114.18,37651022
13-Nov-15,115.20,115.57,112.27,112.34,45164053
12-Nov-15,116.26,116.82,115.65,115.72,32262598
11-Nov-15,116.37,117.42,115.21,116.11,45104903
10-Nov-15,116.90,118.07,116.06,116.77,58635125
9-Nov-15,120.96,121.81,120.05,120.57,33657546
6-Nov-15,121.08,121.81,120.62,121.06,32931447
5-Nov-15,121.85,122.69,120.18,120.92,39258480
4-Nov-15,122.56,123.82,121.62,122.00,44343498
3-Nov-15,120.79,123.49,120.70,122.57,45331025
2-Nov-15,120.80,121.36,119.61,121.18,31761309
30-Oct-15,120.99,121.22,119.45,119.50,48811991
29-Oct-15,118.70,120.69,118.27,120.53,50240803
28-Oct-15,117.58,119.30,116.06,119.27,85023324
27-Oct-15,115.40,116.54,113.99,114.55,57953589
26-Oct-15,118.08,118.13,114.92,115.28,66019504
23-Oct-15,118.77,119.23,116.33,119.08,59139552
22-Oct-15,114.33,115.50,114.10,115.50,41272693
21-Oct-15,114.00,115.58,113.70,113.76,41795238
20-Oct-15,111.34,114.17,110.82,113.77,48778770
19-Oct-15,110.80,111.75,110.11,111.73,29606075
16-Oct-15,111.78,112.00,110.53,111.04,38236278
15-Oct-15,110.93,112.10,110.49,111.86,37340996
14-Oct-15,111.29,111.52,109.56,110.21,44325611
13-Oct-15,110.82,112.45,110.68,111.79,32424018
12-Oct-15,112.73,112.75,111.44,111.60,30114425
9-Oct-15,111.64,112.28,109.49,112.12,52533783
8-Oct-15,110.06,110.19,108.21,109.50,61698450
7-Oct-15,110.47,111.77,109.41,110.78,46602587
6-Oct-15,110.63,111.74,109.76,111.31,48196751
5-Oct-15,110.08,111.37,109.07,110.78,51723110
2-Oct-15,108.01,111.01,107.55,110.38,57560431
1-Oct-15,109.07,109.62,107.31,109.58,63747954
30-Sep-15,110.17,111.54,108.73,110.30,66105030
29-Sep-15,112.83,113.51,107.86,109.06,73135853
28-Sep-15,113.85,114.57,112.44,112.44,51723929
25-Sep-15,116.44,116.69,114.02,114.71,55842210
24-Sep-15,113.25,115.50,112.37,115.00,49810647
23-Sep-15,113.63,114.72,113.30,114.32,35645658
22-Sep-15,113.38,114.18,112.52,113.40,49809010
21-Sep-15,113.67,115.37,113.66,115.21,46554289
18-Sep-15,112.21,114.30,111.87,113.45,73418992
17-Sep-15,115.66,116.49,113.72,113.92,63462713
16-Sep-15,116.25,116.54,115.44,116.41,36909956
15-Sep-15,115.93,116.53,114.42,116.28,43004052
14-Sep-15,116.58,116.89,114.86,115.31,58201862
11-Sep-15,111.79,114.21,111.76,114.21,49441846
10-Sep-15,110.27,113.28,109.90,112.57,62675234
9-Sep-15,113.76,114.02,109.77,110.15,84344438
8-Sep-15,111.75,112.56,110.32,112.31,54114204
4-Sep-15,108.97,110.45,108.51,109.27,49628615
3-Sep-15,112.49,112.78,110.04,110.37,52906410
